Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
cabbage-roti,veg,https://www.balancenutrition.in/recipes/recipe-details/cabbage-roti,Energy (kcal)- 133,Protein (g) - 3.3,Carbohydrate (g)- 30,Fat (g) - 2.5," Cabbage roti in combination with wheat &oats is one of the best accompaniment to be eaten with a bowl of curds, dal or pulse. Containing whole wheat flour and oats, this recipe is high in fiber, antioxidants, phytonutrients and also B vitamins. The addition of oats & cabbage to the roti contributes to a healthier option, making digestion easier.  High-Fiber diets help you feel full and may contribute to a healthy weight loss if you are dieting. Cabbage roti can be eaten as breakfast with 1 Katori curd.","['Cabbage -20 g [grated]', 'Wheat flour-\xa0 2tbsp', 'Oats powder -1 tsp [powder the oats in the mixer]', 'Ajwainpwd -¼ tsp', 'Chilli powder-\xa0 ½ tsp', 'Ginger garlic paste-\xa0 ½ tsp', 'Green chilli paste-\xa0 ½ tsp', 'Kasuri methi [dry methi leaves]-\xa0 ¼ tsp', 'Few green coriander leaves', 'Salt to taste']"
carrot-methi-sabzi,vegan,https://www.balancenutrition.in/recipes/recipe-details/carrot-methi-sabzi,Energy (kcal)- 58,Protein (g) - 0.8,Carbohydrate (g)- 1.8,Fat (g) - 5, Mixing of carrot and methi not only give color to the vegetables but also increases the overall fiber content and the vitamin and mineral amount carrot being a good source of carotene and Methi leaves are good in phytonutrients.,"['Carrots chopped – 1 small', 'Fenugreek leaves (methi) chopped -1 cup\xa0', 'Oil- 1 tsp\xa0', 'Onion chopped – 2 tbsp', 'Green chilli-ginger paste- ½ tsp', 'Garlic cloves minced – 1/2', 'Turmeric (fresh) – a pinch', 'Salt to taste\xa0', 'Cumin Powder- 1/4 tsp', 'Coriander powder – 1/4 tsp', 'Lemon juice- 1 tsp']"
couscous-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/couscous-dhokla,Energy (kcal)- 170,Protein (g) - 5.5,Carbohydrate (g)- 28.4,Fat (g) - 3.6," Oats are rich in a specific type of fiber called beta-glucan which is known to help lower levels of bad cholesterol. Yoghurt provides a dose of animal protein, plus several other nutrients found in dairy foods, like calcium, vitamin B-2, vitamin B-12, potassium, and magnesium. Udad/urad dal is also good for women as it has iron, folic acid, calcium, magnesium, potassium which makes it a healthy pulse.","['Oats- 15 gm\xa0', 'Couscous- 15 gm\xa0', 'Yoghurt- 10 gm\xa0', 'Grated carrot- 10 gm\xa0', 'Onion, chopped- 10 gm\xa0', 'Udad/uraddal- 2 ', ' Grated ginger- ½ ', ' Curry leaves-2 no.\xa0', 'Sesame seeds- ½ ', 'Ajwain- ½ ', ' Cumin and mustard seeds- 1 ', 'Fenugreek leaves/', 'T', 'Salt to taste', '\xa0Eno/ baking soda- 1 ', 'Oil for tempering- ½ ']"
couscous-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/couscous-khichdi,Energy (kcal)- 188,Protein (g) - 5.7,Carbohydrate (g)- 27.3,Fat (g) - 3," Moong dal is a good source of protein and dietary fiber which help to decrease high cholesterol. Couscous is a good source of dietary protein and our body relies on dietary protein  to support healthy skin, muscles, organs and other body tissues. Peas are low fat but high in protein, fiber and micronutrients. Cauliflower is a member of the cruciferous family of vegetables, believed to fight cancer because of the sulfur-containing compound present in it.","['Couscous- 15 g', 'Yellow Moong dal- 15 g', 'Peas- 10 g', 'Cauliflower florets- 10 g', 'Ginger- garlic paste- 1tsp\xa0', 'Turmeric powder-1/2 tsp', 'Cumin seeds- 1/2 tsp', 'Ginger- green chilli paste- 1 tsp\xa0', 'Black pepper- ½ tsp\xa0', 'Red chilli powder- ½ ', '\xa0', 'Salt to taste', 'Coriander leaves chopped  1 tsp']"
couscous-muthia,veg,https://www.balancenutrition.in/recipes/recipe-details/couscous-muthia,Energy (kcal)- 187,Protein (g) - 3,Carbohydrate (g)- 29,Fat (g) - 6," The fiber and the minerals in the bottle gourd or lauki supports healthy digestion and combats flatulence and combats constipation. Couscous is packed with good fiber content that Helps to support a healthy heart, decrease risks for diabetes as it contains no fat or sugar. Sesame seeds are an excellent source of copper, known for its use in reducing some of the pain and swelling of rheumatoid arthritis. ","['Whole wheat flour/bajra/chickpea/besan- 15g\xa0\xa0', 'Couscous- 15g Bottlegourd/cabbage/pumpkin - 20 g\xa0', 'Yogurt- 10 g', 'Ginger-chilli paste- 1 tsp\xa0', 'Kasuri methi- 10 g\xa0', 'Sugar- 1 tsp', 'Turmeric-1/2 tsp', '\xa0Cumin seeds- ½ tsp', '\xa0Coriander powder-1/2 tsp', 'Red chilli powder- ½ tsp', 'Lemon juice-1 tsp', 'Oil-1/2 tsp']"
cucumber-carrot-pickle,vegan,https://www.balancenutrition.in/recipes/recipe-details/cucumber-carrot-pickle,Energy (kcal)- 30,Protein (g) - 0.3,Carbohydrate (g)- 2.4,Fat (g) - 2.5," Cucumbers are 95 per cent water, keeping the body hydrated while helping the body eliminate toxins. It is a very good source of potassium, an important intracellular electrolyte which is heart friendly and helps to bring a reduction in total blood pressure and heart rates by countering effects of sodium. Carrots are rich in anti-oxidants, vitamins and dietary fiber.","['Chopped cucumber  15g\xa0', 'Chopped carrot  15g', 'Green chilli - 1', 'Lemon juice-\xa0 ¼ tsp\xa0\xa0', 'Split mustard seeds \xa0- ¼ tsp', 'Asafoetida  a pinch\xa0', 'Turmeric powder  a pinch\xa0', 'olive oil  ½ tsp', 'Salt as per taste']"
dabeli-paratha,veg,https://www.balancenutrition.in/recipes/recipe-details/dabeli-paratha,Energy (kcal)- 142,Protein (g) - 3.2,Carbohydrate (g)- 25.9,Fat (g) - 2.5, This recipe includes more veggies and wheat flour base increases the fiber content making it a healthy alternative than a traditional dabeli. ,['Coriander: a few']
dahi-kadhi,veg,https://www.balancenutrition.in/recipes/recipe-details/dahi-kadhi,Energy (kcal)- 178,Protein (g) - 4,Carbohydrate (g)- 13,Fat (g) - 9," A popular ingredient used in Indian cooking, besan or gram flour is commonly used to make kadhi with curds or yogurt. With the main ingredient being curds, this kadhi is known to improves the immune system, cope up with stomach problems and also improve digestion problems. Consuming curds or yogurt increases the capacity to absorb the nutrients and minerals form other food stuffs. This two in one kadhi of gram flour plus curds is more delicious if eaten with rotis or a bowl of brown rice.","['Beaten curd - 1 katori', 'Besan - 1 tbsp', 'Turmeric powder -1/2 tsp', 'Ginger-garlic paste- 1½ tsp', 'Salt - to taste']"
dahi-wale-moong-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/dahi-wale-moong-quarantine-sp,Energy (kcal)- 150,Protein (g) - 7,Carbohydrate (g)- 17,Fat (g) - 5, Spourted green gram are protein rich and fiber rich. Yogurt is good source of usefull bacteria and probiotics which helps to clean our digestive tract. Choosing dahi wale moog as a snack item is not only delicious but healthy too.,"['Sprouted Green gram -\xa0 30g', 'Yogurt -1/4 cup', 'Oil - 1 tsp', 'Mustard seeds- a pinch', 'Cumin seeds- a pinch', 'Curry leaves\xa0 - 4', 'Green chillies (finely chopped) - 2', 'Garlic (chopped) -1 clove', 'Gram flour (besan) - 1 tsp', 'Salt\xa0 as per taste, use minimum', 'Turmeric powder- a pinch', 'Fresh coriander leaves, finely chopped for garnish']"
dal-dhokli-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/dal-dhokli-quarantine-sp,Energy (kcal)- 183,Protein (g) - 13,Carbohydrate (g)- 25,Fat (g) - 5.2," Dal Dhokli which is originated from Gujarat, is a healthy dish as it is dal base with wheat and gram flour pasta like textured thin strips/dhoklis. Made with pulses and flour, it is a healthy and nutritious dish which is savored by all age groups. It is a delicious one pot dish which is flavored with a variety of spices and condiments making it delicious as well as completely wholesome. The cereal- pulse combination (3:1) offers full set of amino acids. Lysine is absent in the cereal and methionine is absent in the pulse hence mixing the two is beneficial and this mix becomes a complete protein source. Also adding lemon enhances iron absorption.

","['Split pigeon pea- 1 tbsp (15g)', 'Gram flour(besan)- 1 tsp (5g)', 'Whole wheat flour (Atta) dough- 1 tbsp (15g)', 'Salt -To taste', 'Turmeric powder- ¾ tsp', 'Red chilli powder- ¾ tsp', 'Asafoetida- 1 pinch', 'Ghee- 1 tsp (4g)', 'Kokum petals- 1or 2', 'Peanuts - 1 tsp (4g)', 'Jaggery (Gur)- ½ tsp (2g)', 'Mustard seeds- ½ \xa0tsp', 'Cumin seeds- ¾ tsp', 'Whole dry red chillies broken- 1', 'Curry leaves- 1or 2', 'Fresh coriander leaves chopped- ½ tbsp']"
dalia-chilla,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-chilla,Energy (kcal)- 153,Protein (g) - 5,Carbohydrate (g)- 21,Fat (g) - 3," The fiber content in dalia helps prevents constipation by absorbing water from the digestive water and adding bulk to stools. curry leaves are a rich source of iron and folic acid, thereby keeping anemia at bay.","['Dalia 20gm, soaked in a cup of buttermilk (done in the previous night and kept in the fridge)', 'Besan 10g', 'Tomato- 10 g', 'Onion- 10g', 'Curry leaves 2 no.', 'Green chillies 1 no.', 'Ginger 1 small piece', 'Black pepper powder- ½ tsp', 'Oil- ½ tsp']"
dalia-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-dhokla,Energy (kcal)- 195,Protein (g) - 7,Carbohydrate (g)- 30,Fat (g) - 3," Oats are rich in a specific type of fiber called beta-glucan. This particular type of fiber is known to help lower levels of bad cholesterol. Oats, via their high fiber content, helps you to be fuller and aids in weight management. Broken wheat or dalia benefits to keep your digestive tract healthy. Yogurt provides a dose of animal protein, plus several other nutrients found in dairy foods, like calcium, vitamin B-2, vitamin B-12, potassium, and magnesium. Urad dal is also good for women as it has iron, folic acid, calcium, magnesium, potassium which makes it a healthy pulse

  ","['Oats- 20 g', 'Dalia/ couscous - 20 g', 'Yogurt- 10 g', 'Grated carrot- 10 g', 'Onion, chopped- 10 g', 'Urad dal- 2 tsp', 'Grated ginger- ½ tsp', 'Curry leaves-2 no.', 'Sesame seeds- ½ tsp', 'Ajwain- ½ tsp', 'Cumin and mustard seeds- 1 tsp', 'Fenugreek leaves/kasoori methi- 1 tsp', 'Turmeric powder- a pinch', 'Salt to taste', 'Eno salt/ baking soda- 1 tsp', 'Oil for tempering- ½ tsp']"
dalia-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-khichdi,Energy (kcal)- 200,Protein (g) - 3.6,Carbohydrate (g)- 33,Fat (g) - 6," When it comes to healthy eating, this power packed complex carbohydrate lunch or dinner meal of cracked/broken wheat or dalia is one of the best. It plays a great contribution in controlling one's body weight. It contains virtually no fats and also free from saturated and trans fatty acids. Not only does it give an appealing taste, but also adds to the crunchiness when eaten. Adding vegetables to the daliya khichdi would increase its overall nutritional content. Daliya khichdi would be complete when eaten with a bowl of cold curds or a yummy vegetable raita.","['Finely chopped onion, tomato, carrot and french beans-\xa0 1 cup', 'Green peas- 10 g', 'Chopped green chilli - 1tsp', 'Ginger-garlic paste - ½ tsp', '\xa0Broken wheat(dalia)-\xa0 30 g', 'Turmeric powder- ½ tsp', 'Coriander powder -1 tsp', 'Cumin seeds- ½ tsp', 'Oil -1 tsp', 'Salt- to taste', 'Chopped coriander - to garnish']"
dalia-methi-muthia,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-methi-muthia,Energy (kcal)- 130,Protein (g) - 3.1,Carbohydrate (g)- 23.4,Fat (g) - 3.3, Another fibre rich snack that abounds in iron and vitamin A. These delectable muthias are sure to keep you 'full' for a long time.,"['For the muthias:', 'Broken wheat 20g', 'Chopped fenugreek leaves 20g', 'Bajra flour 10g', 'Clove of garlic, grated -1', 'Ginger-green chilli paste ¼\xa0 tsp', 'Turmeric powder a pinch', 'Low-fat curd 2 tsp', 'Salt to taste', 'For the tempering:', 'Olive oil ½ tsp', 'Mustard seeds ¼ tsp', 'Asafoetida a pinch', 'For the garnish:', 'Chopped coriander 10g']"
dalia-muthia,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-muthia,Energy (kcal)- 150,Protein (g) - 5,Carbohydrate (g)- 27,Fat (g) - 3," The fiber and the minerals in the bottle gourd or lauki supports healthy digestion and combats flatulence and combats constipation. Dalia is high in protein and low in fat and calories, it offers you nutrients without adding pounds to your body. Sesame seeds are an excellent source of copper, known for its use in reducing some of the pain and swelling of rheumatoid arthritis.","['Whole wheat flour/bajra/chickpea/besan- 15g', 'Dalia - 15g', 'Bottle gourd/cabbage/pumpkin - 20 g', 'Yogurt- 10 g', 'Ginger-chilli paste- 1 tsp\xa0', 'Kasuri methi- 10 g\xa0', 'Sugar- 1 tsp\xa0', 'Turmeric-1/2 tsp\xa0', 'Cumin seeds- tsp\xa0', 'Coriander powder-1/2 tsp\xa0', 'Red chilli powder- tsp\xa0', 'Lemon juice-1 tsp\xa0', 'Oil-1/2 tsp\xa0']"
dalia-pulao,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-pulao,Energy (kcal)- 155,Protein (g) - 2.5,Carbohydrate (g)- 22,Fat (g) - 5.5," When it comes to healthy eating, this power-packed complex carbohydrate cracked/broken wheat or dalia is one of the best. It plays a great contribution in controlling one's body weight. It contains virtually no fats and also free from saturated and trans fatty acids. Not only does it give an appealing taste, but also adds to the crunchiness when eaten. Adding vegetables to it would increase its overall nutritional content.","['Dalia (raw) - 2 tbsp', 'Finely chopped onion - 1 small', 'Boiling-hot water - ½ cup', 'Salt - ½ tsp', 'Black pepper - 1/4th tsp', 'Coriander seeds - ½ tbsp.', 'Oil - 1 tsp']"
dudhi-chana-dal,veg,https://www.balancenutrition.in/recipes/recipe-details/dudhi-chana-dal,Energy (kcal)- 145,Protein (g) - 4.5,Carbohydrate (g)- 18,Fat (g) - 5," Dudhi is low in calories. It helps in digestion, weight loss, urinary disorders and prevents heart diseases. Chana dal is high in fiber and helps to lower cholesterol. It also has a very low hypoglycemic index, which is important for those with diabetes. It is a good source of zinc, folate, calcium, and protein. Chana dal is extremely delicious in taste, full of nutritious and can be digested easily.

","['Bottle gourd , cut into pieces - 1 katori', 'Split Bengal gram (chana dal) - 3 tsp or 1 ½ tbsp', 'Oil - 1 tsp', 'Asafoetida - a pinch', 'Mustard seeds -1/2 tsp', 'Cumin seeds - 1 tsp', 'Curry leaves- 4 or 5', 'Ginger, chopped - 1 tsp', 'Onions, chopped - 1 small', 'Green chillies, chopped - 1', 'Red chilli powder - 1 tsp', 'Turmeric powder - 1/4 tsp', 'Salt \xa0to taste', 'Garam masala powder - 1 tsp\xa0', 'Fresh coriander leaves, chopped - to garnish']"
dudhi-thepla,veg,https://www.balancenutrition.in/recipes/recipe-details/dudhi-thepla,Energy (kcal)- 188,Protein (g) - 6.5,Carbohydrate (g)- 31,Fat (g) - 3.8," The vitamins, minerals and dietary fibre in lauki keep the body well-nourished and curb unnecessary appetite. It consists of approximately 96% of water and is, therefore, a great thirst quencher. It also prevents fatigue and keeps the body cool and refreshed during summers. One of the many yoghurt benefits is that it helps improve your digestion, which is mainly due to the nutrients available in yoghurt. Eating curd will make it easier for your body to absorb nutrients from other food items that you eat.","['Bottle gourd (Lauki/ dudhi) (grated) -50g', 'Whole wheat flour -30g', 'Besan (chana flour)/ gram flour -15g', 'Yoghurt -15g', 'Green chilli -1 no.', 'Ginger-garlic paste-\xa0 1 tsp', 'Red chilli powder-\xa0 ¼ tsp', 'Turmeric powder-\xa0 ¼ tsp', 'Cumin powder-\xa0 ¼ tsp', 'Oil-\xa0 ½ tsp', 'Salt  to taste']"
green-moong-dal-chilla-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/green-moong-dal-chilla-quarantine-sp,Energy (kcal)- 162,Protein (g) - 7.4,Carbohydrate (g)- 22,Fat (g) - 5.5," Green gram dal (moong daal) is rich in Vitamin A, B, C and E and many minerals, such as calcium, iron and potassium. Green gram is rich in protein and fibre.  Along with weight loss, moong dal also improves the metabolism, immune system and protects against fatal diseases.  ","['Green gram dal 30 gms, soaked', 'Hung curd 1 tbsp', 'Mixed vegetables 1/2cup (carrot, cucumber, capsicum)', 'Onion, finely sliced 1/2 small (25 g)', 'Cumin seeds (jeera)-1/2 tsp', 'Fennel seeds 1/2 tsp', 'Green chillies 1 no.(depending on taste), finely chopped', 'Turmeric powder 1/4 tsp', 'Oil 1/2 tsp\xa0', 'Salt- as per taste', 'Mint coriander chutney 2 tbsp']"
green-peas-dhokla,vegan,https://www.balancenutrition.in/recipes/recipe-details/green-peas-dhokla,Energy (kcal)- 83,Protein (g) - 3.9,Carbohydrate (g)- 10,Fat (g) - 2.8," Green peas dhoklas are rich in protein, fiber, iron, etc. Green peas are a very versatile ingredient that lands itself into various types of dishes right from soups and salads, to starters and sabjis, and so on to dhoklas.","['For the batter:', 'Green peas puree', 'Bengal gram flour - 15 g\xa0', 'Ginger-green chilli paste - ¼ tsp', 'Powdered sugar - ¼ tsp', 'Fruit Salt - ¼ tsp', 'Salt to taste', 'For the tempering:', 'Olive oil - ½ tsp', 'Mustard seeds - ¼ tsp', 'Urad dal - ¼ tsp', 'Chopped green chillies - ¼ tsp', 'Asafoetida  a pinch', 'For the garnishing', 'Chopped coriander - 10 g\xa0']"
