Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
Brown Rice Payasam,veg,https://www.balancenutrition.in/recipes/recipe-details/brown-rice-payasam,Energy (kcal)- 250,Protein (g) - 7,Carbohydrate (g)- 30,Fat (g) - 5, Brown Rice is rich in fiber and is a good source of manganese and selenium. Hence all these benefits make the payasam a power-packed Onam dessert.,"['Brown Rice - 30 g', 'Milk - 100 ml', 'Cardamom powder - a pinch', 'Sugar-free Natura - 1 tablet (optional)', 'Ghee - 1/2 tsp', 'Almonds (chopped) - 1-2 nos.\xa0']"
Buttermilk With Fenugreek ,veg,https://www.balancenutrition.in/recipes/recipe-details/buttermilk-with-fenugreek,Energy (kcal)- 125,Protein (g) - 3.1,Carbohydrate (g)- 3,Fat (g) - 6," Buttermilk/Yoghurt is an excellent source of calcium, potassium, protein and vitamin B12.  It also contains probiotics which are active, good bacteria that helps to clean your digestive system. Calcium in yogurt helps to maintain bone density. Methi seeds are rich sources of minerals, vitamins, phytonutrients. The natural soluble fiber in the fenugreek can swell and fill the stomach thereby suppressing your appetite.","['Buttermilk(curd/yoghurt) - 100 ml', 'Turmeric powder - a pinch', 'Salt - as per taste\xa0', 'Curry leaves - 5-6', 'Green chillis, chopped into thin rings - 1', 'Oil - ½ tsp', 'Dry red chilli, broken in half - 1', 'Methi seeds (fenugreek,) - ½ tsp', 'Mustard seeds - ¼ tsp', 'Cumin (jeera,) seeds \xa0- ¼ tsp', 'Asafetida (hing) powder a pinch']"
Carrot Uttapam,veg,https://www.balancenutrition.in/recipes/recipe-details/carrot-uttapam,Energy (kcal)- 125,Protein (g) - 7,Carbohydrate (g)- 30,Fat (g) - 3," This recipe has a good combination of oats, rice and carrots. it has great protein source which makes it a very healthy breakfast option. The fiber present in carrots helps clean out the waste moment. oats are very low in calories and high in fiber content. which helps in weight loss.","['Normal rice (raw) -2 tbsp', 'Urad dal (raw)-\xa0 1 tbsp', 'Oats powder - 1 tbsp\xa0', 'Carrot (grated) \xa0- 2 tbsp', 'Oil-\xa0 ½ tsp', 'Salt- as per taste\xa0']"
Chicken Chettinad,non-veg,https://www.balancenutrition.in/recipes/recipe-details/chicken-chettinad,Energy (kcal)- 67,Protein (g) - 10,Carbohydrate (g)- 1,Fat (g) - 4," Chicken is rich in protein. Onions are low in calories and high in beneficial nutrients like vitamins, minerals and antioxidants. Tomatoes are a rich source of vitamins A and C and folic acid. It also contains a great deal of Vitamin A and Vitamin C. Poppy seeds outer husk is a good source of dietary fiber. Poppy seeds also contain good levels of minerals like iron, copper, calcium, potassium, manganese, zinc and magnesium. Cumin seeds have traditionally been noted to be of benefit to the digestive system. Coriander seeds are an excellent source of minerals like iron, copper, calcium, potassium, manganese, zinc and magnesium.","['Chicken - 50 g', 'Olive oil - 1/2 teaspoon', 'Onion (finely chopped)\xa0- 10 g\xa0', 'Curry leaves- 2-3 nos.', 'Tomatoes (chopped) - 20 g\xa0', 'Bay leaf - 1 no.\xa0']"
Chicken Salna,non-veg,https://www.balancenutrition.in/recipes/recipe-details/chicken-salna,Energy (kcal)- 76,Protein (g) - 10,Carbohydrate (g)- 1,Fat (g) - 5," Chicken is rich in protein. It also contains phosphorus, an essential mineral that supports your teeth and bones, as well as kidney, liver, and central nervous system function. Onions apart from being low in calories also have small amounts of calcium, iron, folate, magnesium, phosphorus, potassium and the antioxidants quercetin and sulfur. Tomatoes contain a wide array of beneficial nutrients and antioxidants, including alpha-lipoic acid, lycopene, choline, folic acid, beta-carotene and lutein. Ginger is commonly used to treat various types of stomach problems. Garlic can help lower the risk of heart disease by lowering total LDL cholesterol.","['Chicken-50g', 'Chilli powder a pinch', 'Turmeric powder a pinch', 'Lemon juice- 1/4 tsp', 'Salt as per the taste', 'Oil -½ Teaspoon']"
Coriander Leaves Rice,veg,https://www.balancenutrition.in/recipes/recipe-details/coriander-leaves-rice,Energy (kcal)- 130,Protein (g) - 2.5,Carbohydrate (g)- 22,Fat (g) - 3.5," Coriander rice is a tasty and simple recipe too. Some of the nutrients present in coriander, like linoleic acid, oleic acid, and ascorbic acid (vitamin-C) are very effective in reducing the level of bad cholesterol (LDL). It also helps in preventing nausea, vomiting, and other stomach disorders. Packed with natural oils, brown rice is extremely heart-friendly. Due to its fibrous concentration, brown rice facilitates healthy bowel movement and promotes weight-loss.","['Brown rice  30 g', 'Coriander  5-8 stocks', 'Green chilies  2-3', 'Salt as per taste\xa0', 'Oil  ½ tsp', 'Mustard seeds  ½ tsp', 'Urad dhal  5g', 'Channa dhal  10 g', 'Curry leaves - 4', 'salt - to taste', 'water - 2 cups']"
Couscous Upma,veg,https://www.balancenutrition.in/recipes/recipe-details/couscous-upma,Energy (kcal)- 163,Protein (g) - 3.3,Carbohydrate (g)- 28.6,Fat (g) - 3.2," Couscous is a very good source of dietary fiber,  plays a vital role in maintaining your health. Fiber proves to be beneficial for weight management because it absorbs water and swells in your digestive tract helping you feel full. Green peas are one of the most nutritious leguminous vegetables rich in health benefiting phyto-nutrients, minerals, vitamins and anti-oxidants.","['Couscous- 30 g', 'Green peas- 10 g\xa0', 'Chopped carrot- 10 g', 'Chopped Green chillies- ½ tsp', 'Grated ginger- ½ tsp\xa0', 'Turmeric powder- a pinch', 'Mustard seeds- ½ tsp', 'Cumin seeds- ½ tsp\xa0', 'Lemon juice- 1 tsp\xa0', 'Salt to taste', 'Oil-1/2 tsp']"
Curd Rice  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/curd-rice-quarantine-sp,Energy (kcal)- 150,Protein (g) - 4.5,Carbohydrate (g)- 24,Fat (g) - 6," Curd has a good bacteria' present in it which strengthens your immune system by fighting against several microorganisms that are present in the body. The calcium present in it prevents your body from pumping more cortisol, which helps to reduce cholesterol and aids in weight loss.Brown rice not only provides satiety but also is much healthier than simply white rice as it is a whole grain. It is high in fiber which makes you feel full for longer time. ","['Brown Rice (raw)- 20 g', 'Yogurt whisked\xa0\xa0 -\xa0 1 cup', 'Cucumber finely chopped\xa0 - 2 tbsp', 'Carrot finely chopped\xa0 - 1 tbsp', 'Salt as per taste\xa0', 'Mustard seeds  ½ tsp', 'Asafetida\xa0 - a\xa0 pinch', 'Curry leaves\xa0\xa0 -\xa0 5\xa0', 'Ginger chopped - ½ tsp', 'Green chillies chopped-\xa0 2', 'Oil - ½ tsp']"
Dahi Bhindi ,veg,https://www.balancenutrition.in/recipes/recipe-details/dahi-bhindi,Energy (kcal)- 100,Protein (g) - 4,Carbohydrate (g)- 9,Fat (g) - 3.4, The low-calorie content of Okra and its high fiber content makes it a suitable food for weight loss. It provides minimum calories and the fiber helps in keeping you full for longer. Okra contains soluble fiber pectin. Pectin helps in lowering the bad cholesterol. Consuming curd or yogurt increases the capacity to absorb the nutrients and minerals from other foodstuffs. The calcium present in it prevents your body from pumping more cortisol which helps to reduce cholesterol and aids in weight loss.,"[""Tender lady's finger (okra) - 100 g"", 'Ginger -\xa0 ¼ tsp', 'Pepper corns - ¼ tsp', 'Oil - ½ tsp', 'Dry red chilli (tear into two pieces) - 1 no.', 'Cumin seeds -\xa0 ¼ tsp', 'Red chillis slit lengthwise - 2 nos.', 'Coriander powder - 1 tsp', 'Turmeric powder or haldi - 1/4 tsp', 'Besan (Bengal gram flour) -\xa0 1 tbsp', 'Curds (made from skimmed milk)- 2 tbsp', 'Salt-to taste']"
Dalia Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/dalia-idli,Energy (kcal)- 120,Protein (g) - 3,Carbohydrate (g)- 25,Fat (g) - 2," A very fiber rich recipe because it contains wheat bran and wheat germ, broken wheat is an excellent source of fiber. It provides 5 g of fiber per 1/4 cup, which is 20 percent of the recommended daily value. Broken wheat fits well in a low-fat diet. It has no saturated fat, trans fat or cholesterol.
","['Dalia (raw)- 2 tbsp\xa0', 'Curd- 1 tbsp', 'Mixed veggies (e.g. boiled peas, grated carrot/bell pepper)- 1/2 cup\xa0', 'Cumin seeds- 1/2 tsp', 'Salt- as per taste', 'Oil- 1/2 tsp']"
Four Flour Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/four-flour-dosa,Energy (kcal)- 192,Protein (g) - 6.3,Carbohydrate (g)- 34,Fat (g) - 3.3," Bajra is rich in insoluble fiber that helps digestion and stool formation. It also contains niacin, a vitamin that plays a crucial role in lowering cholesterol levels, thereby preventing heart disease. The compounds in jowar, called phytochemicals, might help prevent and treat certain types of cancer. Ragi has a good amount of calcium in it. Cereal and protein ratio is 3:1 which make sure that this becomes a class 1 protein.","['Urad dal  - 10g\xa0', 'Fenugreek  seeds-\xa0 ¼ Teaspoon\xa0', 'Oil - 1/2 Tsp\xa0', 'Salt- to taste']"
Foxtail Millet Bisi Bele Bath,veg,https://www.balancenutrition.in/recipes/recipe-details/foxtail-millet-bisi-bele-bath,Energy (kcal)- 225,Protein (g) - 7.5,Carbohydrate (g)- 34.5,Fat (g) - 6.25," Foxtail millet is an annual grass grown for human food. It is the second-most widely planted species of millet and the most important in East Asia. In India, foxtail millet is still an important crop in its arid and semi-arid regions. In South India, it has been a staple diet among people for a long time from the Sangam period. It is a good source of dietary fibre, proteins and vitamins.","['Foxtail millet - 30 g', 'Ghee - 1 tsp', 'Mustard seeds - 1 tsp\xa0', 'Coriander seeds - 1/8 tsp', 'Shallots - 10-12 nos', 'Green chilli - 1 no', 'Tomato chopped-\xa0\xa01 large', 'Chopped vegetables - 1 cup\xa0', 'Turmeric powder - 1/4 tsp', 'Asafoetida - 1 pinch\xa0', 'Coriander seeds chopped - 2 tbsp', 'Dal [any as per your choice] - 15 g', 'Red chilli powder - 1 tsp', 'Sambhar masala - 1 tsp']"
Foxtail Millet Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/foxtail-millet-dosa,Energy (kcal)- 130,Protein (g) - 4.4,Carbohydrate (g)- 25,Fat (g) - 2.8," Foxtail millet is gluten-free cereal. It is also rich in protein, and low in fat. It has a good amount of fiber content, calcium, iron, potassium, magnesium, and carbohydrates. It is also high in anti-oxidants and helps in weight loss. Fenugreek seeds are rich in fiber and low in GI. Urad dal is a good source of protein. Therefore it is a very healthy option.","['Foxtail millet- 1 tbsp', 'Idli rice- 1/2 tbsp', 'White urad dal- 1/2 tbsp', 'Fenugreek seeds (Methi)- 1 tsp', 'Salt- as per taste', 'Oil- 1/2 tsp']"
Foxtail Millet Khichdi(korralu Khichdi),veg,https://www.balancenutrition.in/recipes/recipe-details/foxtail-millet-khichdi(korralu-khichdi),Energy (kcal)- 362,Protein (g) - 10.5,Carbohydrate (g)- 40.5,Fat (g) - 17.5," Foxtail millet is an annual grass grown for human food. It is the second-most widely planted species of millet and the most important in East Asia. In India, foxtail millet is still an important crop in its arid and semi-arid regions. In South India, it has been a staple diet among people for a long time from the Sangam period. It is a good source of dietary fibre, proteins and vitamins.","['Pepper - 1/2 tsp', 'Garlic - 5 no.', 'Oil - 2 tbsp.', 'Cumin seeds - 1/2 tsp', 'Mustard seeds - 1/2 tsp', 'Ginger (chopped) - 1/2 tsp', 'Onions (chopped) - 1/2 tsp', 'Green chillies - 3 no.', 'Salt - to taste', 'Curry leaves - 1 spring', 'Water - 3-4 cup', 'Foxtail millets - 1 cup', 'Mixed dal(chana dal, moong dal, split moong dal, red gram, toor dal) - 1 cup', 'Ghee - 1 tsp']"
Foxtail Millet Porridge,veg,https://www.balancenutrition.in/recipes/recipe-details/foxtail-millet-porridge,Energy (kcal)- 300,Protein (g) - 10,Carbohydrate (g)- 35,Fat (g) - 13.5," Foxtail millet is an annual grass grown for human food. It is the second-most widely planted species of millet and the most important in East Asia. In India, foxtail millet is still an important crop in its arid and semi-arid regions. In South India, it has been a staple diet among people for a long time from the Sangam period. It is a good source of dietary fibre, proteins and vitamins.","['Foxtail millet: 30 gm', 'Milk: 150 ml', 'Dates: 2', 'Chopped nuts: 1tbsp', 'Lotus seeds: 2 pieces\xa0', 'A handful of amaranth seeds[optional]\xa0']"
Foxtail Millet Upma,veg,https://www.balancenutrition.in/recipes/recipe-details/foxtail-millet-upma,Energy (kcal)- 182,Protein (g) - 6.5,Carbohydrate (g)- 35.35,Fat (g) - 0.62," Foxtail millet is an annual grass grown for human food. It is the second-most widely planted species of millet and the most important in East Asia. In India, foxtail millet is still an important crop in its arid and semi-arid regions. In South India, it has been a staple diet among people for a long time from the Sangam period. It is a good source of dietary fibre, proteins and vitamins.","['Foxtail millet / Navane - 1 cup\xa0', 'Water - 2-2.5 cup', 'Size onion finely chopped - 1 medium', 'Tomato chopped - 1 small\xa0', 'Mixed veggies (Beans, Carrot, Peas etc ) ( Optional ) finely Chopped - 1/2 cup\xa0', 'Green Chillies Chopped - 2-4\xa0', 'Few Coriander leaves Chopped', 'Lemon juice - 1 tsp\xa0', 'Salt to taste', 'Mustard - 1/2 tsp\xa0', 'Split Black gram Urad Dal - 1 tsp\xa0', 'Bengal Gram Chana Dal - 1/2 tsp\xa0', 'Turmeric / Haldi powder - a pinch', 'Few Curry Leaves\xa0']"
Garlic Rasam,veg,https://www.balancenutrition.in/recipes/recipe-details/garlic-rasam,Energy (kcal)- 50,Protein (g) - 3,Carbohydrate (g)- 3.3,Fat (g) - 0.3," This is a rasam that imbibes the goodness of garlic; this is good for digestion as well as for general well-being.  It is very good for common cold, sore throat, loss of appetite and fever, as it increases gut immunity, as garlic is an antibiotic and a blood cleanser. The inclusion of legumes provides the basic requirement of proteins.  Spices enhance the flavor of the soup further and are an excellent source of manganese, iron and vitamin K.


","['Split pigeon pea (toor dal/arhar dal),soaked- 1 tbsp', 'Garlic cloves- 2-3 nos.', 'Tomato (cubed0- 1 medium', 'Tamarind pulp- 1/2 tsp\xa0', 'Asafoetida- 1/4th tsp', 'Turmeric powder- 1/4th tsp\xa0', 'Salt- as per taste']"
Green Mini Uttapam ,veg,https://www.balancenutrition.in/recipes/recipe-details/green-mini-uttapam,Energy (kcal)- 150,Protein (g) - 3,Carbohydrate (g)- 25,Fat (g) - 3.6," A healthy version of the normal uttapam, containing the fiber and nutrients of brown rice. Brown rice provides complex carbohydrates, B vitamins, phosphorus, selenium, manganese, potassium and magnesium. Green peas provide proteins, vitamin C, vitamin E, and a good amount of the antioxidant mineral zinc.","['Brown rice - 2 tbsp', 'Yoghurt - 1 tbsp', 'Poha (pressed rice) - 1 tsp', 'Ginger (grated)\xa0- ½ tbsp', 'Green chilli (finely chopped)\xa0\xa0- 1', 'Green peas - 1 tbsp', 'Salt - to taste', 'Oil - ½ tsp']"
Green Moong Dosa With Flaxseeds,veg,https://www.balancenutrition.in/recipes/recipe-details/green-moong-dosa-with-flaxseeds,Energy (kcal)- 150,Protein (g) - 5,Carbohydrate (g)- 20,Fat (g) - 5.8," This recipe combines the best of south Indian snacks with the goodness of the whole moong, resulting in a wholesome and filling snack option. the use of the whole moong offers nutritious benefits. which is rich in fiber content helps in lower cholesterol level. flax seeds are the richest source of omega-3-fatty acids. it is full of healthy fats and fiber.  ","['Green Moong Dal- 1/2 tbsp\xa0', 'Raw Rice- 1 tbsp', 'Oil- 1/2tsp', 'To Grind to paste:', 'Green chilli- 1', 'Garlic- 2 pods', 'Ginger- 1 Tsp', 'Coriander/ mint leaves- 1 tbsp', 'Salt- as per taste']"
Idiyappam,veg,https://www.balancenutrition.in/recipes/recipe-details/idiyappam,Energy (kcal)- 144,Protein (g) - 6.1,Carbohydrate (g)- 24,Fat (g) - 5," Brown rice is a good source of minerals such as magnesium, phosphorus, selenium, thiamine, niacin, vitamin B6 and manganese. Brown rice is high in fiber is known to aid in weight loss. Oats are a good source of beta-glucan which is proven effective in lowering blood cholesterol and blood sugar levels. The carrot adds colour to the recipe and also is rich in vitamins and minerals, also improves vision. Flaxseeds help slow down glucose metabolism and lower cholesterol levels. The omega-3 fatty acids in this super food also reduce inflammation, lower blood pressure.","['Brown rice flour- 1 tbsp. (15 gms)', 'Oats flour- 1 tbsp. (15 gms)', 'Roasted flax seeds powder- 1 tsp.', 'Grated carrot- 2 tsp. (10gm)', 'Salt- as per taste\xa0', 'Oil- 1/2 tsp, to grease\xa0']"
Idli Tadka,veg,https://www.balancenutrition.in/recipes/recipe-details/idli-tadka,Energy (kcal)- 73,Protein (g) - 1.25,Carbohydrate (g)- 11,Fat (g) - 2.7," Idlis are an ideal nutritious breakfast dish as it is a rich source of carbohydrates, fibres and proteins. They help in weight loss as they are steamed, are light and low on calories. Fermentation is known to increase the bio availability of proteins and vitamins B.","['Mini idlis - 5-8', 'Green chillies  2-3', 'Turmeric powder - a pinch\xa0', 'Red chilli powder- ¼ tsp', 'Fresh coriander leaves (chopped) - \xa01 tsp', 'Fresh mint springs - \xa02-3', 'Mustard seeds -1 tsp', 'Salt to taste', 'Oil - ½ tsp']"
Kaikari Korma,veg,https://www.balancenutrition.in/recipes/recipe-details/kaikari-korma,Energy (kcal)- 100,Protein (g) - 2,Carbohydrate (g)- 10,Fat (g) - 3," Carrot - An orange crunchy power food you get vitamin A and a host of other powerful health benefits including beautiful skin, cancer prevention, and anti-aging. Green peas are one of the most nutritious leguminous vegetables, rich in health benefiting phytonutrients, minerals, vitamins, and anti-oxidants. Also, adding green bell pepper, onion and tomato make the sabji more colorful and more nutritious. Tomatoes are a rich source of vitamins A and C and folic acid, contain a wide array of beneficial nutrients and antioxidants including lycopene and folic acid.","['Carrot, french beans, cauliflower florets, capsicum, green peas - 1 cup\xa0', 'Oil - ½ tsp', 'Star anise - 1 piece', 'Curry leaves - 5 no.', 'Onions , finely chopped - 2 tbsp\xa0', 'Tomato puree - ½ cup', 'Salt- to taste', 'Cumin seeds - ½ tsp', 'Coriander seeds - ½ tsp', 'Fennel seeds (saunf) - ½ tsp', 'Garlic clove - 1', 'Ginger finely chopped - ½ tsp', 'Dried red chilli - 1', 'Green chilli - 1']"
,veg,https://www.balancenutrition.in/recipes/recipe-details/kerala-brown-rice-kadhi,Energy (kcal)- 100,Protein (g) - 2,Carbohydrate (g)- 10,Fat (g) - 3," Carrot - An orange crunchy power food you get vitamin A and a host of other powerful health benefits including beautiful skin, cancer prevention, and anti-aging. Green peas are one of the most nutritious leguminous vegetables, rich in health benefiting phytonutrients, minerals, vitamins, and anti-oxidants. Also, adding green bell pepper, onion and tomato make the sabji more colorful and more nutritious. Tomatoes are a rich source of vitamins A and C and folic acid, contain a wide array of beneficial nutrients and antioxidants including lycopene and folic acid.","['Carrot, french beans, cauliflower florets, capsicum, green peas - 1 cup\xa0', 'Oil - ½ tsp', 'Star anise - 1 piece', 'Curry leaves - 5 no.', 'Onions , finely chopped - 2 tbsp\xa0', 'Tomato puree - ½ cup', 'Salt- to taste', 'Cumin seeds - ½ tsp', 'Coriander seeds - ½ tsp', 'Fennel seeds (saunf) - ½ tsp', 'Garlic clove - 1', 'Ginger finely chopped - ½ tsp', 'Dried red chilli - 1', 'Green chilli - 1', 'Carrot, french beans, cauliflower florets, capsicum, green peas - 1 cup\xa0', 'Oil - ½ tsp', 'Star anise - 1 piece', 'Curry leaves - 5 no.', 'Onions , finely chopped - 2 tbsp\xa0', 'Tomato puree - ½ cup', 'Salt- to taste', 'Cumin seeds - ½ tsp', 'Coriander seeds - ½ tsp', 'Fennel seeds (saunf) - ½ tsp', 'Garlic clove - 1', 'Ginger finely chopped - ½ tsp', 'Dried red chilli - 1', 'Green chilli - 1']"
